subject,condition,condition_name,disturbance_gain_crossover_rad_s,disturbance_phase_margin_deg,disturbance_phase_crossover_rad_s,disturbance_gain_margin,target_gain_crossover_rad_s,target_phase_margin_deg,target_phase_crossover_rad_s,target_gain_margin
1,1,Fixed-base Position,1.983656162580111,86.34340070218326,5.575953304743015,2.180858418549319,1.983656162580111,86.34340070218326,5.575953304743015,2.180858418549319
1,2,Fixed-base Velocity,2.504692397288691,53.92228210590014,6.268229360148252,1.2895425949846442,2.504692397288691,53.92228210590014,6.268229360148252,1.2895425949846442
1,3,Fixed-base Acceleration,5.6636922365493145,-22.378168333452862,0.937809058210259,1.1857197538100273,5.6636922365493145,-22.378168333452862,0.937809058210259,1.1857197538100273
1,4,Motion-base Position,2.207437508768022,92.4327816142511,5.47254565102152,2.991771958712413,1.7948190643180473,84.58760308827311,5.248353953308387,2.057766283018309
1,5,Motion-base Velocity,2.6908897369438924,43.20820776072716,5.342224386612493,1.6860825664074712,2.497267411290909,50.1735577402182,5.92415474377389,1.6162978996390032
1,6,Motion-base Acceleration,3.9133019521184753,19.519531595545715,4.911723974349684,1.405207745801256,3.265282934679349,33.69683831223037,4.501696458885374,1.5786332954891082
2,1,Fixed-base Position,1.750328343652678,107.4357939166971,5.523597732008172,1.9185135958159296,1.750328343652678,107.4357939166971,5.523597732008172,1.9185135958159296
2,2,Fixed-base Velocity,1.809284641259806,62.62620577429351,5.222446503113457,1.7581666912651386,1.809284641259806,62.62620577429351,5.222446503113457,1.7581666912651386
2,3,Fixed-base Acceleration,1.7672251449344156,34.28515200334513,4.018166596030831,1.935192899451827,1.7672251449344156,34.28515200334513,4.018166596030831,1.935192899451827
2,4,Motion-base Position,1.9170225608584073,100.39923093384294,5.960917392231902,2.882605749935861,1.0894601647336493,105.58005132862047,5.283465265169139,1.9939422683059793
2,5,Motion-base Velocity,2.008555673115271,71.72210398163884,6.378659646694374,2.4107263102439194,1.0982084990518026,75.14295211423439,5.230295539014442,2.353204783476282
2,6,Motion-base Acceleration,2.9289423327017032,25.96669418099458,4.892040425885963,1.7614439154706287,1.9464020819532375,51.35211482285416,4.271484122121592,1.9086428684395353
3,1,Fixed-base Position,1.6108785454134,84.47883500785133,4.530594405036823,2.0265860287150104,1.6108785454134,84.47883500785133,4.530594405036823,2.0265860287150104
3,2,Fixed-base Velocity,2.5783593139515517,45.915509037540005,4.686852395469432,1.109769360761757,2.5783593139515517,45.915509037540005,4.686852395469432,1.109769360761757
3,3,Fixed-base Acceleration,2.0808595514418617,19.756157143983387,3.8340948468579543,1.6842664129643785,2.0808595514418617,19.756157143983387,3.8340948468579543,1.6842664129643785
3,4,Motion-base Position,1.927254113251412,79.17779787359626,6.468675683618368,4.106502431057597,1.7043721754623224,79.40220741424696,5.616258236940272,1.8005229523301687
3,5,Motion-base Velocity,2.0333084335017193,51.47560354030122,6.945993569054916,3.2818639117366515,1.6768532333226,59.87675005688385,5.314336690442683,2.083884716626385
3,6,Motion-base Acceleration,2.320506507544616,32.289173971090804,5.638030620240725,3.6494399674370777,1.9429696414299789,35.715170518001486,3.476403944818601,2.126900417353205
4,1,Fixed-base Position,2.76811830415707,57.017778633908335,5.472963775200987,2.094392398280628,2.76811830415707,57.017778633908335,5.472963775200987,2.094392398280628
4,2,Fixed-base Velocity,2.0398971447521457,64.6867879409491,7.56511040169458,2.508244181454529,2.0398971447521457,64.6867879409491,7.56511040169458,2.508244181454529
4,3,Fixed-base Acceleration,2.199182149022298,18.405046327532148,4.9005484376453055,1.40287244518519,2.199182149022298,18.405046327532148,4.9005484376453055,1.40287244518519
4,4,Motion-base Position,2.399659245409984,61.10949867329833,6.46795086994171,4.159944586681004,1.9111102047114397,71.16333751140655,5.5276011433992265,1.9258159486894852
4,5,Motion-base Velocity,2.890559630690709,39.26624213812315,6.337239443725433,2.010796163888479,1.9906997468459684,58.00264728976646,5.791034036209719,1.8573799883790325
4,6,Motion-base Acceleration,2.706103237312254,22.280049895115013,4.956589511405915,2.2531611911104745,1.9263678802157447,52.58349709015607,4.350775204915785,2.431529314233762
5,1,Fixed-base Position,2.0450729905506804,86.7767390853399,5.581891006151387,1.632516762944474,2.0450729905506804,86.7767390853399,5.581891006151387,1.632516762944474
5,2,Fixed-base Velocity,1.9432129720442295,72.89399338570922,4.758548812086566,1.3225683087184734,1.9432129720442295,72.89399338570922,4.758548812086566,1.3225683087184734
5,3,Fixed-base Acceleration,2.6476536931553554,15.689643958173917,4.223512937974741,1.4298276320620837,2.6476536931553554,15.689643958173917,4.223512937974741,1.4298276320620837
5,4,Motion-base Position,2.5537992618442287,71.16601583258182,6.419400342465533,1.7607963561103621,2.562574932353603,52.5213078890165,5.609627085439079,1.4860949948134117
5,5,Motion-base Velocity,2.844637962965334,51.44841191707482,6.583068889731217,1.949198689073097,1.9072073631492765,63.16664465207998,10.45035502562554,1.2396048527321122
5,6,Motion-base Acceleration,3.26947747806847,19.543997122935764,5.342612383428056,1.6959405645685732,2.165370345999443,46.15650464678117,4.431666826861323,2.039454854830266
6,1,Fixed-base Position,,,6.090015575201476,1.451312436108175,,,6.090015575201476,1.451312436108175
6,2,Fixed-base Velocity,2.22785989458201,64.1596587318665,4.55255798604365,0.9846777821420708,2.22785989458201,64.1596587318665,4.55255798604365,0.9846777821420708
6,3,Fixed-base Acceleration,2.1660748542392154,20.5802264640503,3.938862970946678,2.058094165690778,2.1660748542392154,20.5802264640503,3.938862970946678,2.058094165690778
6,4,Motion-base Position,1.5314273229110271,103.98918036707153,6.682555737876917,3.530198894354658,1.1000195679535196,93.17439288039759,5.3561756380207015,2.0398379577967334
6,5,Motion-base Velocity,2.281715486734926,67.29965329910391,6.316220213535926,2.022285006062282,1.4030019771718696,73.19639036575558,5.437697187910097,2.058392060838436
6,6,Motion-base Acceleration,2.9751635471272575,23.584154923949484,5.399879228899986,1.8966788996451083,1.8531632846485258,52.35218377781695,4.326258316714536,2.1045697496096967
